date,runtype,distance,duration,pace,elevation,calories,hr,eventtype
2020-12-30,treadmill_running,5.26,1880.83,5.98,0,364.0,138.0,uncategorized
2020-12-31,treadmill_running,6.26,2206.49,5.89,0,482.0,150.0,uncategorized
2021-01-01,treadmill_running,6.26,2180.68,5.82,0,420.0,137.0,uncategorized
2021-01-03,treadmill_running,6.26,2158.34,5.77,0,404.0,136.0,uncategorized
2021-01-04,treadmill_running,5.06,1799.41,5.94,0,349.0,138.0,uncategorized
2021-01-05,treadmill_running,5.44,1965.25,6.11,0,389.0,140.0,uncategorized
2021-01-06,treadmill_running,5.51,1897.02,5.74,0,414.0,147.0,uncategorized
2021-01-07,treadmill_running,5.2,1792.31,5.78,0,417.0,155.0,uncategorized
2021-01-25,running,8.02,2772.71,5.78,90.0,606.0,151.0,uncategorized
2021-02-04,running,8.21,2761.79,5.62,56.0,636.0,157.0,uncategorized
2021-03-15,running,5.39,1829.33,5.72,27.0,411.0,162.0,uncategorized
2021-03-17,running,5.76,2034.97,5.92,40.0,420.0,153.0,uncategorized
2021-03-19,running,7.07,2568.05,6.08,47.0,545.0,158.0,uncategorized
2021-03-22,running,6.01,2151.12,6.0,38.0,457.0,156.0,uncategorized
2021-03-24,running,7.1,2474.71,5.84,45.0,532.0,158.0,uncategorized
2021-03-25,running,7.26,2546.59,5.87,50.0,527.0,152.0,uncategorized
2021-03-27,running,7.36,2631.59,5.97,35.0,509.0,145.0,uncategorized
2021-03-29,running,8.21,2938.4,5.99,41.0,558.0,142.0,uncategorized
2021-03-31,running,8.1,2962.71,6.13,34.0,547.0,140.0,uncategorized
2021-05-05,running,5.51,2086.36,6.35,29.0,428.0,152.0,uncategorized
2021-05-06,running,5.5,2052.74,6.24,26.0,409.0,148.0,uncategorized
2021-05-09,running,4.99,1921.77,6.44,21.0,379.0,150.0,uncategorized
2021-05-11,running,6.01,2182.18,6.09,29.0,447.0,150.0,uncategorized
2021-05-14,running,7.75,2847.49,6.15,65.0,572.0,148.0,uncategorized
2021-05-16,running,10.81,3988.67,6.18,56.0,848.0,158.0,uncategorized
2021-05-18,running,8.07,2871.77,5.95,44.0,605.0,156.0,uncategorized
2021-05-20,running,8.12,2822.01,5.81,40.0,593.0,153.0,uncategorized
2021-05-23,running,11.51,4016.31,5.84,81.0,766.0,145.0,uncategorized
2021-05-25,running,12.01,4122.87,5.75,72.0,855.0,153.0,uncategorized
2021-05-27,running,10.07,3658.78,6.08,32.0,736.0,151.0,uncategorized
2021-05-30,running,8.29,2930.66,5.91,43.0,693.0,167.0,uncategorized
2021-06-02,running,8.33,2857.39,5.74,46.0,576.0,146.0,uncategorized
2021-06-03,running,11.76,4113.48,5.85,71.0,862.0,152.0,uncategorized
2021-06-07,running,8.35,2892.42,5.8,37.0,618.0,151.0,uncategorized
2021-06-09,running,8.3,2938.21,5.93,56.0,647.0,159.0,uncategorized
2021-06-10,running,8.45,2947.6,5.83,35.0,646.0,156.0,uncategorized
2021-06-15,running,8.36,2815.55,5.63,59.0,587.0,149.0,uncategorized
2021-06-17,running,11.19,3955.45,5.91,78.0,884.0,156.0,uncategorized
2021-06-21,running,8.37,2947.81,5.89,51.0,596.0,143.0,uncategorized
2021-06-23,running,8.35,2868.26,5.75,40.0,571.0,141.0,uncategorized
2021-06-25,running,5.53,1910.76,5.78,20.0,411.0,149.0,uncategorized
2021-06-28,running,8.28,2736.91,5.53,44.0,601.0,150.0,uncategorized
2021-06-30,running,8.38,2760.34,5.51,47.0,635.0,155.0,uncategorized
2021-07-05,running,8.38,2800.87,5.59,44.0,640.0,155.0,uncategorized
2021-07-07,running,8.37,2757.29,5.51,44.0,658.0,158.0,uncategorized
2021-07-09,running,4.22,1342.56,5.31,25.0,304.0,150.0,uncategorized
2021-07-11,running,7.5,2546.87,5.68,56.0,569.0,152.0,uncategorized
2021-07-13,running,8.26,2823.72,5.72,47.0,648.0,156.0,uncategorized
2021-07-16,running,9.01,3119.0,5.8,76.0,674.0,148.0,uncategorized
2021-07-18,running,9.01,3255.84,6.05,83.0,717.0,152.0,uncategorized
2021-07-19,running,9.01,3098.74,5.75,66.0,691.0,151.0,uncategorized
2021-07-21,running,14.26,5077.4,5.96,84.0,950.0,147.0,uncategorized
2021-07-23,running,14.26,5036.12,5.91,106.0,1024.0,151.0,uncategorized
2021-07-25,running,14.01,4895.98,5.85,122.0,1010.0,148.0,uncategorized
2021-07-27,running,17.07,5901.45,5.78,147.0,1136.0,143.0,uncategorized
2021-07-29,running,17.01,5993.59,5.9,129.0,1235.0,149.0,uncategorized
2021-08-03,running,14.0,4790.48,5.72,117.0,986.0,147.0,uncategorized
2021-08-05,running,10.33,3446.91,5.59,65.0,773.0,154.0,uncategorized
2021-08-07,running,8.01,2729.0,5.71,40.0,500.0,135.0,uncategorized
2021-08-09,running,10.78,3577.71,5.55,62.0,754.0,147.0,uncategorized
2021-08-09,running,0.77,361.18,7.95,4.0,61.0,131.0,uncategorized
2021-08-11,running,21.26,7283.1,5.71,149.0,1378.0,145.0,uncategorized
2021-08-14,running,21.26,7148.47,5.6,150.0,1289.0,142.0,uncategorized
2021-08-17,running,21.51,7052.32,5.46,133.0,1347.0,147.0,uncategorized
2021-08-19,running,10.51,3457.05,5.5,47.0,653.0,137.0,uncategorized
2021-08-22,running,10.25,3328.33,5.44,56.0,654.0,140.0,uncategorized
2021-08-24,running,21.53,7171.89,5.55,149.0,1421.0,144.0,uncategorized
2021-08-26,running,12.26,4043.8,5.53,88.0,819.0,143.0,uncategorized
2021-08-30,running,25.34,8500.9,5.59,186.0,1623.0,147.0,uncategorized
2021-09-02,running,25.3,8493.1,5.62,171.0,1746.0,149.0,uncategorized
2021-09-06,running,25.4,8614.44,5.65,181.0,1611.0,141.0,uncategorized
2021-09-08,running,10.0,3089.95,5.15,55.0,709.0,152.0,uncategorized
2021-09-11,running,30.1,10420.19,5.77,205.0,2028.0,150.0,uncategorized
2021-09-14,running,10.0,3051.96,5.08,60.0,675.0,150.0,uncategorized
2021-09-16,running,30.04,10043.1,5.59,214.0,2146.0,156.0,uncategorized
2021-09-19,running,10.08,3294.9,5.46,49.0,686.0,146.0,uncategorized
2021-09-21,running,21.12,6870.25,5.42,157.0,1505.0,153.0,uncategorized
2021-09-23,running,13.02,4088.87,5.26,76.0,845.0,144.0,uncategorized
2021-09-26,running,32.51,11047.93,5.67,218.0,2247.0,149.0,uncategorized
2021-09-28,running,10.15,3331.72,5.48,50.0,666.0,141.0,uncategorized
2021-09-30,running,21.18,6794.03,5.36,148.0,1382.0,148.0,uncategorized
2021-10-03,running,18.02,6413.57,5.95,219.0,1318.0,149.0,uncategorized
2021-10-05,running,12.55,4296.95,5.72,213.0,885.0,147.0,uncategorized
2021-10-08,running,22.01,7640.93,5.8,241.0,1481.0,144.0,uncategorized
2021-10-10,running,28.31,9709.75,5.74,312.0,1753.0,143.0,uncategorized
2021-10-12,running,8.01,3076.57,6.43,224.0,624.0,146.0,uncategorized
2021-10-13,running,8.01,2965.17,6.18,225.0,611.0,148.0,uncategorized
2021-10-14,running,8.01,2993.39,6.25,227.0,603.0,145.0,uncategorized
2021-10-16,treadmill_running,8.01,2667.08,5.55,0,472.0,133.0,uncategorized
2021-10-17,treadmill_running,8.01,2580.5,5.37,0,522.0,147.0,uncategorized
